dt: 10.4651 | dm: 201.829 | avg dt: 0.876388 | avg dm: 52.6483
dt: 0.942187 | dm: 110.597 | avg dt: 0.878268 | avg dm: 54.3039
dt: 0.517812 | dm: 41.6025 | avg dt: 0.868256 | avg dm: 53.9511
dt: 6.96291 | dm: 37.8525 | avg dt: 1.02216 | avg dm: 53.4742
dt: 0.435104 | dm: 34.1025 | avg dt: 1.00711 | avg dm: 52.9775
dt: 0.576979 | dm: 30.3525 | avg dt: 0.996354 | avg dm: 52.4119
dt: 0.563958 | dm: 26.6025 | avg dt: 0.985808 | avg dm: 51.7824
dt: 0.553541 | dm: 22.8525 | avg dt: 0.975516 | avg dm: 51.0936
dt: 0.516093 | dm: 19.1025 | avg dt: 0.964832 | avg dm: 50.3496
dt: 0.466874 | dm: 15.3525 | avg dt: 0.953514 | avg dm: 49.5542
dt: 1.6326 | dm: 204.077 | avg dt: 0.968605 | avg dm: 52.988
dt: 0.508489 | dm: 71.8525 | avg dt: 0.948155 | avg dm: 53.287
dt: 0.817759 | dm: 68.1025 | avg dt: 0.936712 | avg dm: 53.4086
dt: 0.651405 | dm: 64.3525 | avg dt: 0.921142 | avg dm: 53.3735
dt: 0.703124 | dm: 74.5479 | avg dt: 0.906876 | avg dm: 53.4627
dt: 1.16276 | dm: -14.458 | avg dt: 0.903831 | avg dm: 49.8924
dt: 0.540104 | dm: 53.1025 | avg dt: 0.897336 | avg dm: 49.9497
dt: 0.592135 | dm: 37.79 | avg dt: 0.891982 | avg dm: 49.7364
dt: 0.385572 | dm: 45.6025 | avg dt: 0.883251 | avg dm: 49.6651
dt: 0.368177 | dm: 41.8525 | avg dt: 0.87452 | avg dm: 49.5327
dt: 0.356198 | dm: 38.1025 | avg dt: 0.865882 | avg dm: 49.3422
dt: 0.391249 | dm: 34.3525 | avg dt: 0.858101 | avg dm: 49.0965
dt: 0.375573 | dm: 30.6025 | avg dt: 0.850318 | avg dm: 48.7982
dt: 0.378697 | dm: 26.8525 | avg dt: 0.842832 | avg dm: 48.4499
dt: 0.350781 | dm: 23.1025 | avg dt: 0.835144 | avg dm: 48.0538
dt: 0.372968 | dm: 19.3525 | avg dt: 0.828033 | avg dm: 47.6122
dt: 0.368385 | dm: 15.6025 | avg dt: 0.821069 | avg dm: 47.1272
dt: 3.47057 | dm: 177.308 | avg dt: 0.860614 | avg dm: 49.0702
dt: 0.471301 | dm: 63.0127 | avg dt: 0.849332 | avg dm: 48.9876
dt: 0.448958 | dm: 59.2627 | avg dt: 0.837192 | avg dm: 48.804
dt: 0.556094 | dm: 55.5127 | avg dt: 0.827116 | avg dm: 48.5277
dt: 0.420885 | dm: 51.7627 | avg dt: 0.815653 | avg dm: 48.1662
dt: 0.423177 | dm: 48.0127 | avg dt: 0.810489 | avg dm: 48.1642
dt: 0.503489 | dm: 44.2627 | avg dt: 0.806502 | avg dm: 48.1135
dt: 0.421979 | dm: 40.5127 | avg dt: 0.801572 | avg dm: 48.0161
dt: 0.381093 | dm: 36.7627 | avg dt: 0.79625 | avg dm: 47.8736
dt: 0.626302 | dm: 33.0127 | avg dt: 0.794125 | avg dm: 47.6878
dt: 0.497604 | dm: 29.2627 | avg dt: 0.790465 | avg dm: 47.4604
dt: 0.414531 | dm: 25.5127 | avg dt: 0.78588 | avg dm: 47.1927
dt: 0.434531 | dm: 21.7627 | avg dt: 0.781647 | avg dm: 46.8863
dt: 0.419271 | dm: 18.0127 | avg dt: 0.777333 | avg dm: 46.5426
dt: 2.68791 | dm: 273.397 | avg dt: 0.79981 | avg dm: 49.2115
dt: 0.433646 | dm: 74.5127 | avg dt: 0.795553 | avg dm: 49.5057
dt: 0.501145 | dm: 70.7627 | avg dt: 0.792169 | avg dm: 49.75
dt: 0.478177 | dm: 67.0127 | avg dt: 0.788601 | avg dm: 49.9462
dt: 0.472604 | dm: 63.2627 | avg dt: 0.78505 | avg dm: 50.0958
dt: 0.715312 | dm: 59.5127 | avg dt: 0.844276 | avg dm: 52.9803
dt: 0.77604 | dm: 55.7627 | avg dt: 0.843233 | avg dm: 53.453
dt: 1.6225 | dm: 52.0127 | avg dt: 0.851267 | avg dm: 53.4381
dt: 0.520364 | dm: 48.2627 | avg dt: 0.844336 | avg dm: 53.4489
dt: 0.522968 | dm: 44.5127 | avg dt: 0.851609 | avg dm: 53.3849
dt: 0.510364 | dm: 40.7627 | avg dt: 0.845133 | avg dm: 53.2506
dt: 0.695521 | dm: -36.9287 | avg dt: 0.841982 | avg dm: 52.3458
dt: 0.619009 | dm: 33.2627 | avg dt: 0.84281 | avg dm: 51.7191
dt: 0.453749 | dm: 29.5127 | avg dt: 0.835449 | avg dm: 51.4164
dt: 0.48552 | dm: 25.7627 | avg dt: 0.828223 | avg dm: 51.057
dt: 0.366562 | dm: 22.0127 | avg dt: 0.821069 | avg dm: 50.6439
dt: 0.468333 | dm: 18.2627 | avg dt: 0.814414 | avg dm: 50.18
dt: 1.41995 | dm: 138.554 | avg dt: 0.816317 | avg dm: 50.7281
dt: 0.410365 | dm: 50.9814 | avg dt: 0.809158 | avg dm: 50.4903
dt: 0.467916 | dm: 47.2314 | avg dt: 0.803016 | avg dm: 50.1983
dt: 0.40276 | dm: 43.4814 | avg dt: 0.805674 | avg dm: 51.2707
dt: 0.491718 | dm: 39.7314 | avg dt: 0.803162 | avg dm: 51.1784
dt: 0.486198 | dm: 35.9814 | avg dt: 0.79758 | avg dm: 51.1275
dt: 0.450364 | dm: 32.2314 | avg dt: 0.792741 | avg dm: 51.0201
dt: 0.474114 | dm: 28.4814 | avg dt: 0.788397 | avg dm: 50.8586
dt: 0.42401 | dm: 24.7314 | avg dt: 0.783518 | avg dm: 50.6457
dt: 0.488905 | dm: 20.9814 | avg dt: 0.778756 | avg dm: 50.3834
dt: 0.396927 | dm: 17.2314 | avg dt: 0.773729 | avg dm: 50.0741
dt: 1.05495 | dm: 271.835 | avg dt: 0.772926 | avg dm: 51.5784
dt: 0.480885 | dm: 73.7314 | avg dt: 0.768177 | avg dm: 51.6085
dt: 0.621093 | dm: 69.9814 | avg dt: 0.765096 | avg dm: 51.5852
dt: 0.463801 | dm: 66.2314 | avg dt: 0.761523 | avg dm: 51.5109
dt: 0.538905 | dm: 62.4814 | avg dt: 0.757446 | avg dm: 51.3876
dt: 0.51302 | dm: 58.7314 | avg dt: 0.753786 | avg dm: 51.2172
dt: 0.681197 | dm: 54.9814 | avg dt: 0.757552 | avg dm: 52.2983
dt: 0.457083 | dm: 51.2314 | avg dt: 0.754544 | avg dm: 52.4408
dt: 0.495676 | dm: 47.4814 | avg dt: 0.75121 | avg dm: 52.5311
dt: 0.617864 | dm: -6.60742 | avg dt: 0.749794 | avg dm: 50.5513
dt: 0.62828 | dm: 39.9814 | avg dt: 0.747654 | avg dm: 50.5689
dt: 0.464843 | dm: 36.2314 | avg dt: 0.744936 | avg dm: 50.5394
dt: 0.457968 | dm: 32.4814 | avg dt: 0.74119 | avg dm: 50.4646
dt: 0.41203 | dm: 28.7314 | avg dt: 0.737243 | avg dm: 50.3462
dt: 0.74703 | dm: 24.9814 | avg dt: 0.735613 | avg dm: 50.1857
dt: 0.445416 | dm: 21.2314 | avg dt: 0.73332 | avg dm: 49.9342
dt: 0.637552 | dm: 17.4814 | avg dt: 0.73276 | avg dm: 49.7445
dt: 1.33307 | dm: 148.417 | avg dt: 0.735094 | avg dm: 50.245
dt: 0.458801 | dm: 54.0088 | avg dt: 0.731494 | avg dm: 50.1732
dt: 0.417083 | dm: 50.2588 | avg dt: 0.728089 | avg dm: 50.0606
dt: 0.503958 | dm: 46.5088 | avg dt: 0.725099 | avg dm: 49.9086
dt: 0.47276 | dm: 42.7588 | avg dt: 0.722017 | avg dm: 49.7186
dt: 0.674478 | dm: 39.0088 | avg dt: 0.720134 | avg dm: 49.4917
dt: 0.504583 | dm: 35.2588 | avg dt: 0.717069 | avg dm: 49.2292
dt: 0.481197 | dm: 31.5088 | avg dt: 0.826219 | avg dm: 50.6495
dt: 0.499687 | dm: 27.7588 | avg dt: 0.824492 | avg dm: 50.5284
dt: 0.562343 | dm: 24.0088 | avg dt: 0.821777 | avg dm: 50.4805
dt: 0.537239 | dm: 20.2588 | avg dt: 0.821246 | avg dm: 50.4465
dt: 0.565937 | dm: 16.5088 | avg dt: 0.819937 | avg dm: 50.2724
dt: 1.21422 | dm: 206.39 | avg dt: 0.820581 | avg dm: 51.0973
dt: 0.478072 | dm: 73.0088 | avg dt: 0.816877 | avg dm: 51.2166
dt: 0.488646 | dm: 69.2588 | avg dt: 0.813417 | avg dm: 51.2961
dt: 0.594635 | dm: 65.5088 | avg dt: 0.810857 | avg dm: 51.3371
dt: 0.49 | dm: 61.7588 | avg dt: 0.807633 | avg dm: 51.3407
dt: 0.660468 | dm: -235.605 | avg dt: 0.805097 | avg dm: 49.8897
dt: 0.935936 | dm: 54.2588 | avg dt: 0.804541 | avg dm: 49.8981
dt: 0.49651 | dm: 50.5088 | avg dt: 0.80253 | avg dm: 49.8087
dt: 0.42625 | dm: 46.7588 | avg dt: 0.798883 | avg dm: 49.6857
dt: 0.482187 | dm: 43.0088 | avg dt: 0.794048 | avg dm: 49.3895
dt: 0.435573 | dm: 39.2588 | avg dt: 0.792396 | avg dm: 49.3428
dt: 0.416405 | dm: 35.5088 | avg dt: 0.789428 | avg dm: 49.1247
dt: 0.405052 | dm: 31.7588 | avg dt: 0.79638 | avg dm: 50.0374
dt: 0.445104 | dm: 28.0088 | avg dt: 0.79212 | avg dm: 50.1176
dt: 0.475312 | dm: 24.2588 | avg dt: 0.790712 | avg dm: 50.0027
dt: 0.380832 | dm: 20.5088 | avg dt: 0.787872 | avg dm: 49.9362
dt: 0.400416 | dm: 16.7588 | avg dt: 0.784514 | avg dm: 49.8382
dt: 18.694 | dm: 268.634 | avg dt: 0.858734 | avg dm: 50.8261
dt: 0.468958 | dm: 73.2588 | avg dt: 0.857061 | avg dm: 50.9223
dt: 0.436354 | dm: 69.5088 | avg dt: 0.853583 | avg dm: 50.995
dt: 0.535469 | dm: 65.7588 | avg dt: 0.850395 | avg dm: 51.0348
dt: 0.497759 | dm: 62.0088 | avg dt: 0.847387 | avg dm: 51.0425
dt: 0.589843 | dm: 58.2588 | avg dt: 0.844881 | avg dm: 51.019
dt: 0.556145 | dm: 54.5088 | avg dt: 0.842125 | avg dm: 50.965
dt: 0.726406 | dm: 50.7588 | avg dt: 0.83991 | avg dm: 50.8813
dt: 0.575937 | dm: 47.0088 | avg dt: 0.837118 | avg dm: 50.7686
dt: 0.46802 | dm: 43.2588 | avg dt: 0.834016 | avg dm: 50.6276
dt: 0.722916 | dm: 39.5088 | avg dt: 0.831969 | avg dm: 50.4589
dt: 1.20917 | dm: -19.4404 | avg dt: 0.831984 | avg dm: 50.0451
dt: 0.590208 | dm: 32.0088 | avg dt: 0.853451 | avg dm: 50.0433
dt: 0.426614 | dm: 28.2588 | avg dt: 0.849556 | avg dm: 50.0297
dt: 0.425937 | dm: 24.5088 | avg dt: 0.84792 | avg dm: 49.9311
dt: 0.529166 | dm: 20.7588 | avg dt: 0.844031 | avg dm: 49.8331
dt: 0.497708 | dm: 17.0088 | avg dt: 0.842715 | avg dm: 49.7083
dt: 1.54776 | dm: 271.39 | avg dt: 0.843872 | avg dm: 50.5311
dt: 0.476562 | dm: 73.5088 | avg dt: 0.841046 | avg dm: 50.5863
dt: 0.442864 | dm: 69.7588 | avg dt: 0.836757 | avg dm: 50.5543
dt: 0.756301 | dm: 66.0088 | avg dt: 0.83646 | avg dm: 50.6114
dt: 0.526562 | dm: 62.2588 | avg dt: 0.833899 | avg dm: 50.5824
dt: 0.513853 | dm: 58.5088 | avg dt: 0.831083 | avg dm: 50.5266
dt: 0.501509 | dm: 54.7588 | avg dt: 0.828316 | avg dm: 50.4445
dt: 0.544531 | dm: 51.0088 | avg dt: 0.825797 | avg dm: 50.3367
dt: 0.581041 | dm: 47.2588 | avg dt: 0.8235 | avg dm: 50.2037
dt: 0.43552 | dm: 43.5088 | avg dt: 0.82616 | avg dm: 50.7288
dt: 0.68177 | dm: 39.7588 | avg dt: 0.824448 | avg dm: 50.7669
dt: 0.503697 | dm: 36.0088 | avg dt: 0.822635 | avg dm: 50.7783
dt: 0.420625 | dm: 32.2588 | avg dt: 0.81997 | avg dm: 50.7636
dt: 0.441978 | dm: 28.5088 | avg dt: 0.817412 | avg dm: 50.7234
dt: 0.40776 | dm: 24.7588 | avg dt: 0.814755 | avg dm: 50.6581
dt: 0.62677 | dm: 21.0088 | avg dt: 0.812804 | avg dm: 50.5682
dt: 0.457082 | dm: 32.1572 | avg dt: 0.810872 | avg dm: 50.5045
dt: 1.65541 | dm: 200.159 | avg dt: 0.81397 | avg dm: 50.6871
dt: 0.683384 | dm: 66.1924 | avg dt: 0.813536 | avg dm: 50.7387
dt: 0.564635 | dm: 62.4424 | avg dt: 0.810264 | avg dm: 50.6863
dt: 0.554947 | dm: 58.6924 | avg dt: 0.809427 | avg dm: 50.7126
dt: 0.75078 | dm: 54.9424 | avg dt: 0.808056 | avg dm: 50.6631
dt: 1.39385 | dm: 51.1924 | avg dt: 0.808883 | avg dm: 50.5901
dt: 0.534219 | dm: 47.4424 | avg dt: 0.806628 | avg dm: 50.4938
dt: 0.503593 | dm: 43.6924 | avg dt: 0.804505 | avg dm: 50.3748
dt: 0.504061 | dm: 39.9424 | avg dt: 0.802218 | avg dm: 50.2336
dt: 0.414687 | dm: 36.1924 | avg dt: 0.802853 | avg dm: 50.5972
dt: 0.483437 | dm: 32.4424 | avg dt: 0.800622 | avg dm: 50.5823
dt: 0.373958 | dm: 28.6924 | avg dt: 0.798173 | avg dm: 50.5442
dt: 0.442239 | dm: 24.9424 | avg dt: 0.794804 | avg dm: 50.4903
dt: 0.409426 | dm: 21.1924 | avg dt: 0.793618 | avg dm: 50.4002
dt: 0.609999 | dm: 17.4424 | avg dt: 0.792019 | avg dm: 50.2951
