dt: 12.3226 | dm: 3254.05 | avg dt: 6.82181 | avg dm: 1753.48
dt: 12.3648 | dm: 3314.3 | avg dt: 6.8938 | avg dm: 1773.76
dt: 9.31669 | dm: 3310.55 | avg dt: 6.92486 | avg dm: 1793.46
dt: 11.1064 | dm: 3370.8 | avg dt: 6.97779 | avg dm: 1813.42
dt: 11.8229 | dm: 3367.05 | avg dt: 7.03835 | avg dm: 1832.84
dt: 10.5114 | dm: 3376.68 | avg dt: 7.08123 | avg dm: 1851.9
dt: 11.6158 | dm: 3423.55 | avg dt: 7.13653 | avg dm: 1871.07
dt: 9.77393 | dm: 3419.8 | avg dt: 7.16831 | avg dm: 1889.73
dt: 10.217 | dm: 3480.05 | avg dt: 7.2046 | avg dm: 1908.66
dt: 13.4605 | dm: 3476.3 | avg dt: 7.2782 | avg dm: 1927.11
dt: 9.74976 | dm: 3472.55 | avg dt: 7.30694 | avg dm: 1945.08
dt: 9.98877 | dm: 3532.8 | avg dt: 7.33776 | avg dm: 1963.33
dt: 13.1395 | dm: 3529.05 | avg dt: 7.40369 | avg dm: 1981.12
dt: 13.604 | dm: 212.255 | avg dt: 7.47336 | avg dm: 1961.24
dt: 13.1761 | dm: -3039.36 | avg dt: 7.53672 | avg dm: 1905.68
dt: 11.1673 | dm: 3517.8 | avg dt: 7.57662 | avg dm: 1923.4
dt: 10.173 | dm: 3514.05 | avg dt: 7.60484 | avg dm: 1940.69
dt: 12.4323 | dm: 3510.3 | avg dt: 7.65675 | avg dm: 1957.56
dt: 13.0764 | dm: 3570.55 | avg dt: 7.71441 | avg dm: 1974.72
dt: 10.6722 | dm: 3566.8 | avg dt: 7.74554 | avg dm: 1991.48
dt: 11.7577 | dm: 3563.05 | avg dt: 7.78733 | avg dm: 2007.85
dt: 13.3643 | dm: 3623.3 | avg dt: 7.84483 | avg dm: 2024.51
dt: 10.3475 | dm: 3619.55 | avg dt: 7.87037 | avg dm: 2040.78
dt: 13.4324 | dm: 3615.8 | avg dt: 7.92655 | avg dm: 2056.69
dt: 15.2378 | dm: 3689.58 | avg dt: 7.99966 | avg dm: 2073.02
dt: 10.496 | dm: 3672.3 | avg dt: 8.02438 | avg dm: 2088.85
dt: 13.6233 | dm: 3668.55 | avg dt: 8.07927 | avg dm: 2104.34
dt: 13.491 | dm: 3728.8 | avg dt: 8.13181 | avg dm: 2120.11
dt: 10.2512 | dm: 3725.05 | avg dt: 8.15219 | avg dm: 2135.55
dt: 13.1535 | dm: 3721.3 | avg dt: 8.19982 | avg dm: 2150.65
dt: 14.8633 | dm: 3781.55 | avg dt: 8.26268 | avg dm: 2166.03
dt: 11.3953 | dm: 3777.8 | avg dt: 8.29196 | avg dm: 2181.1
dt: 13.8553 | dm: -7093.92 | avg dt: 8.34347 | avg dm: 2095.22
dt: 10.6922 | dm: 3770.3 | avg dt: 8.36502 | avg dm: 2110.59
dt: 12.7392 | dm: 3766.55 | avg dt: 8.40479 | avg dm: 2125.64
dt: 11.3614 | dm: 3762.8 | avg dt: 8.43142 | avg dm: 2140.39
dt: 11.0199 | dm: 3759.05 | avg dt: 8.45453 | avg dm: 2154.84
dt: 11.9788 | dm: 3755.3 | avg dt: 8.48572 | avg dm: 2169
dt: 11.4831 | dm: 3815.55 | avg dt: 8.51201 | avg dm: 2183.45
dt: 11.0605 | dm: 3811.8 | avg dt: 8.53418 | avg dm: 2197.61
dt: 12.1549 | dm: 3808.05 | avg dt: 8.56539 | avg dm: 2211.49
dt: 13.8306 | dm: 3868.3 | avg dt: 8.61039 | avg dm: 2225.65
dt: 12.7414 | dm: 3864.55 | avg dt: 8.6454 | avg dm: 2239.54
dt: 11.7551 | dm: 3874.47 | avg dt: 8.67153 | avg dm: 2253.28
dt: 11.2068 | dm: 3857.05 | avg dt: 8.69266 | avg dm: 2266.64
dt: 12.0903 | dm: 3917.3 | avg dt: 8.72074 | avg dm: 2280.29
dt: 12.0152 | dm: 3913.55 | avg dt: 8.74774 | avg dm: 2293.67
dt: 11.2151 | dm: 3909.8 | avg dt: 8.7678 | avg dm: 2306.81
dt: 13.9485 | dm: 3970.05 | avg dt: 8.80958 | avg dm: 2320.23
dt: 12.1698 | dm: 3966.3 | avg dt: 8.83646 | avg dm: 2333.39
dt: 12.9854 | dm: 3962.55 | avg dt: 8.86939 | avg dm: 2346.32
dt: 13.3964 | dm: -3674.86 | avg dt: 8.90504 | avg dm: 2298.91
dt: 17.6034 | dm: -4175.3 | avg dt: 8.97299 | avg dm: 2248.33
dt: 12.2293 | dm: 3951.3 | avg dt: 8.99824 | avg dm: 2261.53
dt: 11.65 | dm: 3947.55 | avg dt: 9.01863 | avg dm: 2274.5
dt: 12.6036 | dm: 3943.8 | avg dt: 9.046 | avg dm: 2287.25
dt: 11.1085 | dm: 3940.05 | avg dt: 9.06163 | avg dm: 2299.77
dt: 13.1391 | dm: 4000.3 | avg dt: 9.09228 | avg dm: 2312.55
dt: 11.8463 | dm: 3996.55 | avg dt: 9.11284 | avg dm: 2325.12
dt: 13.3786 | dm: 3992.8 | avg dt: 9.14443 | avg dm: 2337.47
dt: 12.1523 | dm: 3989.05 | avg dt: 9.16655 | avg dm: 2349.62
dt: 11.4341 | dm: 3985.3 | avg dt: 9.1831 | avg dm: 2361.56
dt: 14.4542 | dm: 4059.36 | avg dt: 9.2213 | avg dm: 2373.86
dt: 12.3814 | dm: 4041.8 | avg dt: 9.24403 | avg dm: 2385.86
dt: 13.5674 | dm: 4038.05 | avg dt: 9.27491 | avg dm: 2397.66
dt: 11.6834 | dm: 4034.3 | avg dt: 9.29199 | avg dm: 2409.27
dt: 11.2022 | dm: 4094.55 | avg dt: 9.30545 | avg dm: 2421.14
dt: 13.9299 | dm: 4090.8 | avg dt: 9.33779 | avg dm: 2432.81
dt: 11.2903 | dm: 4087.05 | avg dt: 9.35135 | avg dm: 2444.3
dt: 16.374 | dm: 4147.3 | avg dt: 9.39978 | avg dm: 2456.05
dt: 18.3409 | dm: -7923.35 | avg dt: 9.46102 | avg dm: 2384.95
dt: 16.231 | dm: 115.596 | avg dt: 9.50707 | avg dm: 2369.52
dt: 11.9167 | dm: 4136.05 | avg dt: 9.52335 | avg dm: 2381.45
dt: 13.6332 | dm: 4132.3 | avg dt: 9.55094 | avg dm: 2393.2
dt: 11.4509 | dm: 4128.55 | avg dt: 9.5636 | avg dm: 2404.77
dt: 14.4672 | dm: 4124.8 | avg dt: 9.59608 | avg dm: 2416.16
dt: 11.3591 | dm: 4121.05 | avg dt: 9.60768 | avg dm: 2427.38
dt: 14.5672 | dm: 4117.3 | avg dt: 9.64009 | avg dm: 2438.42
dt: 11.5244 | dm: 4113.55 | avg dt: 9.65233 | avg dm: 2449.3
dt: 14.9132 | dm: 4109.8 | avg dt: 9.68627 | avg dm: 2460.01
dt: 14.3384 | dm: 4170.05 | avg dt: 9.71609 | avg dm: 2470.98
dt: 11.8137 | dm: 4180.25 | avg dt: 9.72945 | avg dm: 2481.86
dt: 14.0686 | dm: 4162.55 | avg dt: 9.75691 | avg dm: 2492.5
dt: 11.7059 | dm: 4158.8 | avg dt: 9.76917 | avg dm: 2502.98
dt: 15.5644 | dm: 4219.05 | avg dt: 9.80539 | avg dm: 2513.71
dt: 12.5541 | dm: 4215.3 | avg dt: 9.82246 | avg dm: 2524.27
dt: 14.5306 | dm: 4211.55 | avg dt: 9.85153 | avg dm: 2534.69
dt: 11.4505 | dm: 4207.8 | avg dt: 9.86134 | avg dm: 2544.95
dt: 14.2522 | dm: 4204.05 | avg dt: 9.88811 | avg dm: 2555.07
