dt: 0.623903 | dm: 18.8447 | avg dt: 0.719801 | avg dm: 18.6704
dt: 2.96561 | dm: 18.8447 | avg dt: 0.733774 | avg dm: 18.6727
dt: 0.618538 | dm: 18.8447 | avg dt: 0.733016 | avg dm: 18.6738
dt: 0.603851 | dm: 18.8447 | avg dt: 0.731021 | avg dm: 18.676
dt: 0.607549 | dm: 18.8447 | avg dt: 0.728685 | avg dm: 18.6793
dt: 0.55031 | dm: 18.8447 | avg dt: 0.72681 | avg dm: 18.6813
dt: 0.58906 | dm: 18.8447 | avg dt: 0.725128 | avg dm: 18.6834
dt: 0.585049 | dm: 18.8447 | avg dt: 0.724264 | avg dm: 18.6844
dt: 0.611664 | dm: 18.8447 | avg dt: 0.72284 | avg dm: 18.6863
dt: 0.608383 | dm: 18.8447 | avg dt: 0.720847 | avg dm: 18.6892
dt: 0.608435 | dm: 18.8447 | avg dt: 0.719513 | avg dm: 18.691
dt: 0.609581 | dm: 18.8447 | avg dt: 0.718194 | avg dm: 18.6928
dt: 0.7451 | dm: 18.8447 | avg dt: 0.71835 | avg dm: 18.6937
dt: 0.649788 | dm: 18.8447 | avg dt: 0.717415 | avg dm: 18.6963
dt: 0.672653 | dm: 18.8447 | avg dt: 0.717115 | avg dm: 18.6979
dt: 0.644788 | dm: 18.8447 | avg dt: 0.716413 | avg dm: 18.6996
dt: 0.66682 | dm: 18.8447 | avg dt: 0.716138 | avg dm: 18.7004
dt: 0.65609 | dm: 18.8447 | avg dt: 0.715084 | avg dm: 18.7028
dt: 0.644996 | dm: 18.8447 | avg dt: 0.714115 | avg dm: 18.7043
dt: 0.640569 | dm: 18.8447 | avg dt: 0.713401 | avg dm: 18.7058
dt: 0.618174 | dm: 18.8447 | avg dt: 0.712686 | avg dm: 18.7073
dt: 0.89937 | dm: 18.8447 | avg dt: 0.713668 | avg dm: 18.708
dt: 0.870881 | dm: 6.35059 | avg dt: 0.715047 | avg dm: 18.5674
dt: 0.718122 | dm: 18.8447 | avg dt: 0.715219 | avg dm: 18.5702
dt: 0.615466 | dm: 18.8447 | avg dt: 0.71471 | avg dm: 18.5716
dt: 0.613799 | dm: 18.8447 | avg dt: 0.713581 | avg dm: 18.5744
dt: 0.731506 | dm: 18.8447 | avg dt: 0.712606 | avg dm: 18.5784
dt: 0.607809 | dm: 18.8447 | avg dt: 0.711656 | avg dm: 18.5811
dt: 0.592862 | dm: 18.8447 | avg dt: 0.711074 | avg dm: 18.5824
dt: 0.611091 | dm: 18.8447 | avg dt: 0.709596 | avg dm: 18.5862
dt: 0.584477 | dm: 18.8447 | avg dt: 0.70851 | avg dm: 18.5886
dt: 0.613591 | dm: 18.8447 | avg dt: 0.70747 | avg dm: 18.5911
dt: 0.606871 | dm: 18.8447 | avg dt: 0.706995 | avg dm: 18.5923
dt: 0.612914 | dm: 18.8447 | avg dt: 0.705523 | avg dm: 18.5958
dt: 0.586768 | dm: 18.8447 | avg dt: 0.704318 | avg dm: 18.5981
dt: 0.58682 | dm: 18.8447 | avg dt: 0.703779 | avg dm: 18.5992
dt: 0.617289 | dm: 18.8447 | avg dt: 0.703355 | avg dm: 18.6025
dt: 0.547237 | dm: 18.8447 | avg dt: 0.702651 | avg dm: 18.6036
dt: 0.603643 | dm: 18.8447 | avg dt: 0.70136 | avg dm: 18.6068
dt: 0.619163 | dm: 18.8447 | avg dt: 0.700589 | avg dm: 18.6089
dt: 0.692966 | dm: 18.8447 | avg dt: 0.700556 | avg dm: 18.61
dt: 0.611039 | dm: 18.8447 | avg dt: 0.699774 | avg dm: 18.612
dt: 0.607913 | dm: 18.8447 | avg dt: 0.698626 | avg dm: 18.615
dt: 0.610101 | dm: 18.8447 | avg dt: 0.69786 | avg dm: 18.617
dt: 0.630934 | dm: 18.8447 | avg dt: 0.697577 | avg dm: 18.6179
dt: 0.605622 | dm: 18.8447 | avg dt: 0.696449 | avg dm: 18.6208
