dt: 0.814322 | dm: 67.2197 | avg dt: 8.85089 | avg dm: 56.7753
dt: 0.627916 | dm: 63.4697 | avg dt: 8.74269 | avg dm: 56.8634
dt: 0.883228 | dm: 59.7197 | avg dt: 8.64062 | avg dm: 56.9005
dt: 0.868801 | dm: 55.9697 | avg dt: 8.54098 | avg dm: 56.8886
dt: 1.21474 | dm: -233.896 | avg dt: 8.44825 | avg dm: 53.2077
dt: 0.505051 | dm: -52.54 | avg dt: 8.34896 | avg dm: 51.8859
dt: 0.480103 | dm: 44.7197 | avg dt: 8.25181 | avg dm: 51.7974
dt: 0.4575 | dm: 40.9697 | avg dt: 8.15676 | avg dm: 51.6654
dt: 0.512448 | dm: 37.2197 | avg dt: 8.06466 | avg dm: 51.4913
dt: 0.476145 | dm: 33.4697 | avg dt: 7.97432 | avg dm: 51.2768
dt: 0.440833 | dm: 29.7197 | avg dt: 7.88569 | avg dm: 51.0232
dt: 0.451614 | dm: 25.9697 | avg dt: 7.79925 | avg dm: 50.7319
dt: 0.383489 | dm: 22.2197 | avg dt: 7.71401 | avg dm: 50.4041
dt: 0.361718 | dm: 18.4697 | avg dt: 7.63046 | avg dm: 50.0412
dt: 2.16297 | dm: 274.312 | avg dt: 7.56903 | avg dm: 52.5611
dt: 0.571145 | dm: 74.9697 | avg dt: 7.49127 | avg dm: 52.8101
dt: 1.20583 | dm: 71.2197 | avg dt: 7.4222 | avg dm: 53.0124
dt: 0.503593 | dm: 67.4697 | avg dt: 7.347 | avg dm: 53.1696
dt: 0.426979 | dm: 63.7197 | avg dt: 7.27259 | avg dm: 53.283
dt: 0.428073 | dm: 59.9697 | avg dt: 7.19978 | avg dm: 53.3541
dt: 0.462812 | dm: 56.2197 | avg dt: 7.12886 | avg dm: 53.3843
dt: 0.35177 | dm: 52.4697 | avg dt: 7.05827 | avg dm: 53.3748
dt: 0.430521 | dm: 48.7197 | avg dt: 6.98994 | avg dm: 53.3268
dt: 0.421718 | dm: 44.9697 | avg dt: 6.92292 | avg dm: 53.2415
dt: 0.581145 | dm: 41.2197 | avg dt: 6.85886 | avg dm: 53.1201
dt: 0.497448 | dm: 37.4697 | avg dt: 6.79524 | avg dm: 52.9636
dt: 0.45526 | dm: 33.7197 | avg dt: 6.73247 | avg dm: 52.7731
dt: 0.491197 | dm: 29.9697 | avg dt: 6.67128 | avg dm: 52.5495
dt: 0.409948 | dm: 26.2197 | avg dt: 6.61049 | avg dm: 52.2939
dt: 0.832551 | dm: 22.4697 | avg dt: 6.55494 | avg dm: 52.0071
dt: 0.458228 | dm: 18.7197 | avg dt: 6.49687 | avg dm: 51.6901
dt: 0.970676 | dm: 210.812 | avg dt: 6.44474 | avg dm: 53.1912
dt: 0.479478 | dm: 75.2197 | avg dt: 6.38899 | avg dm: 53.3971
dt: 0.642187 | dm: 71.4697 | avg dt: 6.33578 | avg dm: 53.5644
dt: 0.785728 | dm: 67.7197 | avg dt: 6.28486 | avg dm: 53.6943
dt: 0.43302 | dm: 63.9697 | avg dt: 6.23166 | avg dm: 53.7877
dt: 0.590104 | dm: 60.501 | avg dt: 6.18084 | avg dm: 53.8482
dt: 0.597708 | dm: 56.4697 | avg dt: 6.13099 | avg dm: 53.8716
dt: 0.528854 | dm: 52.7197 | avg dt: 6.08141 | avg dm: 53.8614
dt: 0.600572 | dm: 48.9697 | avg dt: 6.03333 | avg dm: 53.8185
dt: 0.488176 | dm: 45.2197 | avg dt: 5.98511 | avg dm: 53.7437
dt: 0.433125 | dm: 41.4697 | avg dt: 5.93725 | avg dm: 53.6379
dt: 0.479791 | dm: 37.7197 | avg dt: 5.89061 | avg dm: 53.5019
dt: 0.380156 | dm: 33.9697 | avg dt: 5.84391 | avg dm: 53.3363
dt: 0.502708 | dm: 30.2197 | avg dt: 5.79902 | avg dm: 53.1421
dt: 0.431458 | dm: 26.4697 | avg dt: 5.75429 | avg dm: 52.9198
dt: 0.63375 | dm: 22.7197 | avg dt: 5.71198 | avg dm: 52.6702
dt: 0.408332 | dm: 32.1338 | avg dt: 5.6685 | avg dm: 52.5019
dt: 0.544791 | dm: -44.5283 | avg dt: 5.62685 | avg dm: 51.713
dt: 1.73984 | dm: -671.839 | avg dt: 5.5955 | avg dm: 45.8779
dt: 0.567447 | dm: 71.4502 | avg dt: 5.55528 | avg dm: 46.0825
dt: 0.674947 | dm: 67.7002 | avg dt: 5.51654 | avg dm: 46.2541
dt: 0.426198 | dm: 63.9502 | avg dt: 5.47646 | avg dm: 46.3934
dt: 0.514791 | dm: 60.2002 | avg dt: 5.4377 | avg dm: 46.5013
dt: 0.568176 | dm: 56.4502 | avg dt: 5.39995 | avg dm: 46.5784
dt: 0.451249 | dm: 52.7002 | avg dt: 5.36188 | avg dm: 46.6255
dt: 0.400937 | dm: 48.9502 | avg dt: 5.32401 | avg dm: 46.6432
dt: 0.387447 | dm: 45.2002 | avg dt: 5.28662 | avg dm: 46.6323
dt: 0.412343 | dm: 41.4502 | avg dt: 5.24997 | avg dm: 46.5933
dt: 0.399739 | dm: 37.7002 | avg dt: 5.21377 | avg dm: 46.527
dt: 0.489062 | dm: 33.9502 | avg dt: 5.17877 | avg dm: 46.4338
dt: 0.439582 | dm: 30.2002 | avg dt: 5.14393 | avg dm: 46.3144
dt: 0.645989 | dm: 26.6729 | avg dt: 5.11109 | avg dm: 46.1711
dt: 0.427291 | dm: 23.1689 | avg dt: 5.07715 | avg dm: 46.0044
dt: 0.39828 | dm: 18.9502 | avg dt: 5.04349 | avg dm: 45.8098
dt: 0.437395 | dm: 15.2002 | avg dt: 5.01059 | avg dm: 45.5911
dt: 1.5063 | dm: 267.772 | avg dt: 4.98574 | avg dm: 47.1669
dt: 0.459999 | dm: 71.7002 | avg dt: 4.95387 | avg dm: 47.3396
dt: 0.540312 | dm: 67.9502 | avg dt: 4.923 | avg dm: 47.4838
dt: 0.427135 | dm: 64.2002 | avg dt: 4.89178 | avg dm: 47.5999
dt: 0.440781 | dm: 60.4502 | avg dt: 4.86109 | avg dm: 47.6885
dt: 0.410729 | dm: 56.7002 | avg dt: 4.8306 | avg dm: 47.7502
dt: 0.415 | dm: 52.9502 | avg dt: 4.80057 | avg dm: 47.7856
dt: 0.515312 | dm: 49.2002 | avg dt: 4.77161 | avg dm: 47.7951
dt: 0.407812 | dm: 45.4502 | avg dt: 4.74232 | avg dm: 47.7794
dt: 0.469687 | dm: 41.7002 | avg dt: 4.71384 | avg dm: 47.7389
dt: 0.517812 | dm: 37.9502 | avg dt: 4.68605 | avg dm: 47.674
dt: 0.443697 | dm: 34.2002 | avg dt: 4.65814 | avg dm: 47.5854
dt: 0.415989 | dm: 30.4502 | avg dt: 4.63041 | avg dm: 47.4734
dt: 0.389374 | dm: 26.7002 | avg dt: 4.60288 | avg dm: 47.3385
dt: 0.381823 | dm: 22.9502 | avg dt: 4.57564 | avg dm: 47.1812
dt: 0.400572 | dm: 19.2002 | avg dt: 4.54888 | avg dm: 47.0018
dt: 0.455781 | dm: 15.4502 | avg dt: 4.52281 | avg dm: 46.8008
dt: 1.57432 | dm: 180.272 | avg dt: 4.50415 | avg dm: 47.6456
dt: 0.734791 | dm: 63.9502 | avg dt: 4.48044 | avg dm: 47.7481
dt: 0.533385 | dm: 60.2002 | avg dt: 4.45577 | avg dm: 47.826
dt: 0.680208 | dm: 56.4502 | avg dt: 4.43232 | avg dm: 47.8795
dt: 0.556666 | dm: 52.7002 | avg dt: 4.4084 | avg dm: 47.9093
dt: 1.08318 | dm: 48.9502 | avg dt: 4.388 | avg dm: 47.9157
dt: 0.998905 | dm: 58.5049 | avg dt: 4.36733 | avg dm: 47.9802
dt: 0.582552 | dm: -44.9023 | avg dt: 4.34439 | avg dm: 47.4173
dt: 0.507708 | dm: -72.5986 | avg dt: 4.32128 | avg dm: 46.6943
dt: 0.432343 | dm: 33.9502 | avg dt: 4.29799 | avg dm: 46.618
dt: 0.433437 | dm: 30.2002 | avg dt: 4.27499 | avg dm: 46.5203
dt: 0.438853 | dm: 26.4502 | avg dt: 4.25229 | avg dm: 46.4015
dt: 3.72312 | dm: 22.7002 | avg dt: 4.24918 | avg dm: 46.2621
dt: 0.371822 | dm: 18.9502 | avg dt: 4.2265 | avg dm: 46.1024
dt: 0.353697 | dm: 15.2002 | avg dt: 4.20399 | avg dm: 45.9227
dt: 1.69302 | dm: 268.058 | avg dt: 4.18947 | avg dm: 47.2068
dt: 0.605104 | dm: 71.7002 | avg dt: 4.16887 | avg dm: 47.3475
dt: 0.513385 | dm: 67.9502 | avg dt: 4.14799 | avg dm: 47.4653
dt: 0.618906 | dm: 64.2002 | avg dt: 4.12793 | avg dm: 47.5603
dt: 0.5775 | dm: 60.4502 | avg dt: 4.10788 | avg dm: 47.6332
dt: 0.693177 | dm: 56.7002 | avg dt: 4.08869 | avg dm: 47.6841
dt: 0.384583 | dm: 52.9502 | avg dt: 4.068 | avg dm: 47.7135
