dt: 0.596456 | dm: 30.8223 | avg dt: 0.596456 | avg dm: 30.8223
dt: 0.45906 | dm: 15.0781 | avg dt: 0.527758 | avg dm: 22.9502
dt: 0.396404 | dm: 15.0781 | avg dt: 0.481237 | avg dm: 38.4492
dt: 0.541716 | dm: -87.7236 | avg dt: 0.490794 | avg dm: 25.5011
dt: 0.484164 | dm: 18.8447 | avg dt: 0.51766 | avg dm: -92.7088
dt: 0.334269 | dm: 18.8447 | avg dt: 0.502517 | avg dm: -70.5176
dt: 0.343852 | dm: 18.8447 | avg dt: 0.47745 | avg dm: -54.4684
dt: 0.338592 | dm: 18.8447 | avg dt: 0.460866 | avg dm: -42.9491
dt: 0.339633 | dm: 18.8447 | avg dt: 0.446931 | avg dm: -34.3608
dt: 0.34156 | dm: 18.8447 | avg dt: 0.434877 | avg dm: -27.7779
dt: 0.351926 | dm: 18.8447 | avg dt: 0.425152 | avg dm: -22.6274
dt: 0.323176 | dm: 18.8447 | avg dt: 0.416796 | avg dm: -18.5358
dt: 0.332967 | dm: 18.8447 | avg dt: 0.409121 | avg dm: -15.2487
dt: 0.326248 | dm: 18.8447 | avg dt: 0.402787 | avg dm: -12.5876
dt: 0.332498 | dm: 18.8447 | avg dt: 0.396724 | avg dm: -10.4228
dt: 0.295467 | dm: 18.8447 | avg dt: 0.411779 | avg dm: -0.275076
dt: 0.323592 | dm: 18.8447 | avg dt: 0.409406 | avg dm: 2.59322
dt: 0.311821 | dm: 18.8447 | avg dt: 0.404751 | avg dm: 5.02656
dt: 0.613226 | dm: 18.8447 | avg dt: 0.40987 | avg dm: 7.09549
dt: 0.60208 | dm: 18.8447 | avg dt: 0.420698 | avg dm: 8.85607
dt: 0.598122 | dm: 18.8447 | avg dt: 0.430296 | avg dm: 10.3534
dt: 0.645882 | dm: 18.8447 | avg dt: 0.440045 | avg dm: 11.6243
dt: 0.712392 | dm: 18.8447 | avg dt: 0.451668 | avg dm: 12.6988
dt: 0.743069 | dm: 18.8447 | avg dt: 0.46368 | avg dm: 13.6021
dt: 0.724163 | dm: 18.8447 | avg dt: 0.474746 | avg dm: 14.3552
dt: 0.703174 | dm: 18.8447 | avg dt: 0.484384 | avg dm: 14.9756
dt: 0.712445 | dm: 18.8447 | avg dt: 0.494031 | avg dm: 15.4785
dt: 0.699111 | dm: 18.8447 | avg dt: 0.502064 | avg dm: 15.8766
dt: 1.45395 | dm: 18.8447 | avg dt: 0.522943 | avg dm: 16.181
dt: 0.694841 | dm: 18.8447 | avg dt: 0.529434 | avg dm: 16.4012
dt: 0.761611 | dm: 5.00879 | avg dt: 0.536348 | avg dm: 16.3187
dt: 0.864526 | dm: -100.575 | avg dt: 0.548102 | avg dm: 11.0693
dt: 0.738121 | dm: 18.8447 | avg dt: 0.555731 | avg dm: 11.2534
dt: 0.616663 | dm: 18.8447 | avg dt: 0.56855 | avg dm: 15.1971
dt: 0.603018 | dm: 18.8447 | avg dt: 0.570171 | avg dm: 16.0697
dt: 0.595465 | dm: 18.8447 | avg dt: 0.571863 | avg dm: 16.8403
dt: 0.59807 | dm: 18.8447 | avg dt: 0.573079 | avg dm: 17.5173
dt: 0.605882 | dm: 18.8447 | avg dt: 0.574353 | avg dm: 18.1082
dt: 0.588487 | dm: 18.8447 | avg dt: 0.575395 | avg dm: 18.6197
dt: 0.594372 | dm: 18.8447 | avg dt: 0.576051 | avg dm: 19.0579
dt: 0.592705 | dm: 18.8447 | avg dt: 0.576691 | avg dm: 19.4281
dt: 0.601768 | dm: 18.8447 | avg dt: 0.577498 | avg dm: 19.7353
dt: 0.595153 | dm: 18.8447 | avg dt: 0.5781 | avg dm: 19.9839
dt: 0.588122 | dm: 18.8447 | avg dt: 0.578406 | avg dm: 20.178
dt: 0.597757 | dm: 18.8447 | avg dt: 0.578709 | avg dm: 20.3213
dt: 0.593695 | dm: 18.8447 | avg dt: 0.578906 | avg dm: 20.417
dt: 0.596299 | dm: 18.8447 | avg dt: 0.579066 | avg dm: 20.4683
dt: 0.565154 | dm: 18.8447 | avg dt: 0.578907 | avg dm: 20.4779
dt: 0.629893 | dm: 18.8447 | avg dt: 0.580269 | avg dm: 20.4485
dt: 0.672236 | dm: 18.8447 | avg dt: 0.58127 | avg dm: 20.3824
dt: 0.76385 | dm: 18.8447 | avg dt: 0.583095 | avg dm: 20.367
dt: 0.685934 | dm: 18.8447 | avg dt: 0.59409 | avg dm: 22.0591
dt: 0.701924 | dm: 18.8447 | avg dt: 0.596186 | avg dm: 22.326
dt: 0.681663 | dm: 18.8447 | avg dt: 0.597593 | avg dm: 22.5478
dt: 0.724944 | dm: 18.8447 | avg dt: 0.599541 | avg dm: 22.7271
dt: 0.656768 | dm: 18.8447 | avg dt: 0.600662 | avg dm: 22.8661
dt: 0.667028 | dm: 18.8447 | avg dt: 0.601965 | avg dm: 22.9671
dt: 0.917912 | dm: -69.7979 | avg dt: 0.607973 | avg dm: 21.2243
dt: 0.739892 | dm: 18.8447 | avg dt: 0.611105 | avg dm: 21.2857
dt: 0.600778 | dm: 18.8447 | avg dt: 0.610772 | avg dm: 21.3136
dt: 0.611924 | dm: 18.8447 | avg dt: 0.610481 | avg dm: 21.3095
dt: 0.60359 | dm: 18.8447 | avg dt: 0.610066 | avg dm: 21.2752
dt: 0.596663 | dm: 18.8447 | avg dt: 0.609566 | avg dm: 21.2119
dt: 0.553851 | dm: 18.8447 | avg dt: 0.614565 | avg dm: 23.144
dt: 0.60208 | dm: 18.8447 | avg dt: 0.614587 | avg dm: 23.4917
dt: 0.598121 | dm: 18.8447 | avg dt: 0.614663 | avg dm: 23.8001
dt: 0.594684 | dm: 18.8447 | avg dt: 0.614791 | avg dm: 24.0711
dt: 0.596872 | dm: 18.8447 | avg dt: 0.61469 | avg dm: 24.3062
dt: 0.598903 | dm: 18.8447 | avg dt: 0.614661 | avg dm: 24.5072
dt: 0.593591 | dm: 18.8447 | avg dt: 0.614493 | avg dm: 24.6753
dt: 0.598122 | dm: 18.8447 | avg dt: 0.614308 | avg dm: 24.8121
dt: 0.604997 | dm: 18.8447 | avg dt: 0.614205 | avg dm: 24.9189
dt: 0.590778 | dm: 18.8447 | avg dt: 0.613925 | avg dm: 24.9968
dt: 0.603799 | dm: 18.8447 | avg dt: 0.613765 | avg dm: 25.0471
dt: 0.650726 | dm: 18.8447 | avg dt: 0.61446 | avg dm: 25.0709
dt: 0.698538 | dm: 18.8447 | avg dt: 0.614915 | avg dm: 25.0692
dt: 0.693173 | dm: 18.8447 | avg dt: 0.616324 | avg dm: 25.0431
dt: 0.721507 | dm: 18.8447 | avg dt: 0.618052 | avg dm: 24.9934
dt: 0.656507 | dm: 18.8447 | avg dt: 0.618556 | avg dm: 24.9211
dt: 0.62083 | dm: 18.8447 | avg dt: 0.618727 | avg dm: 24.8271
dt: 0.695414 | dm: 18.8447 | avg dt: 0.625001 | avg dm: 25.9119
dt: 0.68583 | dm: 18.8447 | avg dt: 0.625997 | avg dm: 26.1546
dt: 0.68984 | dm: 18.8447 | avg dt: 0.627103 | avg dm: 26.3687
dt: 0.925099 | dm: -117.451 | avg dt: 0.633996 | avg dm: 25.1644
dt: 0.774163 | dm: 18.8447 | avg dt: 0.636673 | avg dm: 25.3408
dt: 0.600258 | dm: 18.8447 | avg dt: 0.636485 | avg dm: 25.4912
dt: 0.604007 | dm: 18.8447 | avg dt: 0.636261 | avg dm: 25.6163
dt: 0.606924 | dm: 18.8447 | avg dt: 0.635983 | avg dm: 25.7172
dt: 0.598174 | dm: 18.8447 | avg dt: 0.635706 | avg dm: 25.7947
dt: 0.601924 | dm: 18.8447 | avg dt: 0.635268 | avg dm: 25.8494
dt: 0.595674 | dm: 18.8447 | avg dt: 0.63485 | avg dm: 25.8822
dt: 0.60432 | dm: 18.8447 | avg dt: 0.63453 | avg dm: 25.8938
dt: 0.592392 | dm: 18.8447 | avg dt: 0.634006 | avg dm: 25.8849
dt: 0.641611 | dm: 18.8447 | avg dt: 0.63457 | avg dm: 25.8561
dt: 0.639476 | dm: 18.8447 | avg dt: 0.634606 | avg dm: 25.8081
dt: 0.573851 | dm: 18.8447 | avg dt: 0.634286 | avg dm: 25.7715
dt: 0.596456 | dm: 18.8447 | avg dt: 0.633276 | avg dm: 25.6568
